id,first_name,last_name,email,UserName,CompanyName,JobTitle,gender,Race,purchase,credit_card_type,date,State/Province,City,PostalCode,Country
1021,Amy,Jordan,ajordank@ed.gov,ajordank,Fadeo,Electrical Engineer,Female,Black or African American,$755.00 ,china-unionpay,1/1/2018,Michigan,Flint,48555,United States
1772,Harold,Morris,hmorrislf@is.gd,hmorrislf,Thoughtstorm,Human Resources Assistant I,Male,Asian,$390.00 ,jcb,1/1/2018,California,San Luis Obispo,93407,United States
1524,Paul,Rodriguez,prodriguezej@businessweek.com,prodriguezej,Skiptube,Librarian,Male,Thai,$323.00 ,diners-club-international,1/2/2018,Virginia,Richmond,23293,United States
1116,Christina,Wheeler,cwheeler37@ovh.net,cwheeler37,Oozz,Information Systems Manager,Female,Mexican,$347.00 ,americanexpress,1/6/2018,Georgia,Duluth,30096,United States
1234,Adam,Jenkins,ajenkins6h@comcast.net,ajenkins6h,Brightdog,Internal Auditor,Male,White,$917.00 ,maestro,1/6/2018,Texas,Austin,78710,United States
1528,Bonnie,Reyes,breyesen@merriam-webster.com,breyesen,Jaxspan,Clinical Specialist,Female,Korean,$824.00 ,americanexpress,1/8/2018,California,Van Nuys,91406,United States
1026,Jacqueline,Ellis,jellisp@imageshack.us,jellisp,Zoomdog,Senior Sales Associate,Female,Black or African American,$98.00 ,jcb,1/10/2018,New York,Bronx,10469,United States
1489,Roger,Matthews,rmatthewsdk@nature.com,rmatthewsdk,Dabshots,Environmental Tech,Male,Black or African American,$224.00 ,maestro,1/10/2018,Virginia,Hampton,23668,United States
1397,Evelyn,Brooks,ebrooksb0@tuttocitta.it,ebrooksb0,BlogXS,Web Designer IV,Female,Alaska Native,$229.00 ,visa,1/11/2018,Iowa,Cedar Rapids,52410,United States
1929,Walter,Johnson,wjohnsonps@columbia.edu,wjohnsonps,Demivee,Payment Adjustment Coordinator,Male,American Indian,$619.00 ,americanexpress,1/11/2018,Louisiana,Lake Charles,70607,United States
1998,Christopher,Stephens,cstephensrp@myspace.com,cstephensrp,Meevee,Marketing Assistant,Male,Hispanic,$271.00 ,jcb,1/13/2018,Minnesota,Saint Paul,55146,United States
1212,Patricia,Weaver,pweaver5v@merriam-webster.com,pweaver5v,Dablist,Staff Accountant I,Female,White,$208.00 ,mastercard,1/16/2018,Connecticut,Hartford,6183,United States
1489,Roger,Matthews,rmatthewsdk@nature.com,rmatthewsdk,Dabshots,Environmental Tech,Male,Black or African American,$326.00 ,maestro,1/19/2018,Virginia,Hampton,23668,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$699.00 ,jcb,1/19/2018,Illinois,Chicago,60614,United States
1954,Stephen,Carr,scarrqh@fema.gov,scarrqh,Demivee,VP Marketing,Male,Thai,$143.00 ,visa-electron,1/22/2018,Colorado,Denver,80255,United States
1014,Samuel,Griffin,sgriffind@stanford.edu,sgriffind,Dynabox,Occupational Therapist,Male,Black or African American,$724.00 ,jcb,1/27/2018,New York,Buffalo,14276,United States
1170,Albert,Roberts,aroberts4p@ezinearticles.com,aroberts4p,Oyoba,Accountant I,Male,White,$425.00 ,china-unionpay,1/27/2018,Texas,El Paso,88574,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$292.00 ,jcb,1/28/2018,Illinois,Chicago,60614,United States
1991,Diane,Scott,dscottri@ask.com,dscottri,Zoomlounge,Librarian,Female,White,$794.00 ,jcb,1/31/2018,New Mexico,Albuquerque,87180,United States
1996,Deborah,Garrett,dgarrettrn@soup.io,dgarrettrn,Twitterworks,Speech Pathologist,Female,White,$100.00 ,china-unionpay,2/1/2018,Missouri,Kansas City,64160,United States
1084,Larry,Ferguson,lferguson2b@theguardian.com,lferguson2b,Babbleblab,Food Chemist,Male,Mexican,$256.00 ,jcb,2/3/2018,Massachusetts,Waltham,2453,United States
1526,Paul,Ellis,pellisel@yelp.com,pellisel,Voonix,Biostatistician IV,Male,Taiwanese,$760.00 ,maestro,2/6/2018,North Carolina,Charlotte,28230,United States
1435,Jesse,Brown,jbrownc2@who.int,jbrownc2,Skivee,Teacher,Male,Asian,$846.00 ,instapayment,2/12/2018,Pennsylvania,Reading,19605,United States
1030,Rose,Johnston,rjohnstont@domainmarket.com,rjohnstont,Babbleblab,Structural Analysis Engineer,Female,Black or African American,$359.00 ,laser,2/13/2018,Virginia,Fairfax,22036,United States
1767,Kevin,Freeman,kfreemanla@rambler.ru,kfreemanla,Camido,Health Coach IV,Male,Asian,$708.00 ,maestro,2/14/2018,Nebraska,Lincoln,68505,United States
1079,Judith,Martinez,jmartinez26@samsung.com,jmartinez26,Meedoo,Social Worker,Female,Mexican,$473.00 ,solo,2/15/2018,Indiana,Gary,46406,United States
1277,Brandon,Spencer,bspencer7o@si.edu,bspencer7o,Quamba,Nuclear Power Engineer,Male,South American,$29.00 ,laser,2/15/2018,Ohio,Akron,44310,United States
1812,Randy,Harris,rharrismj@omniture.com,rharrismj,Pixoboo,Clinical Specialist,Male,Japanese,$510.00 ,mastercard,2/15/2018,Alabama,Birmingham,35220,United States
1080,Joan,Porter,jporter27@opensource.org,jporter27,Shuffledrive,Information Systems Manager,Female,Mexican,$54.00 ,diners-club-carte-blanche,2/18/2018,Oklahoma,Oklahoma City,73114,United States
1534,Maria,Wood,mwoodet@soup.io,mwoodet,Fiveclub,Social Worker,Female,Black or African American,$994.00 ,visa-electron,2/18/2018,California,Anaheim,92812,United States
1812,Randy,Harris,rharrismj@omniture.com,rharrismj,Pixoboo,Clinical Specialist,Male,Japanese,$553.00 ,mastercard,2/19/2018,Alabama,Birmingham,35220,United States
1085,Dennis,Dean,ddean2c@tripod.com,ddean2c,Oodoo,Cost Accountant,Male,Mexican,$751.00 ,jcb,2/20/2018,Georgia,Athens,30605,United States
1756,Pamela,Miller,pmillerkz@flickr.com,pmillerkz,Trudeo,Project Manager,Female,Costa Rican,$766.00 ,china-unionpay,2/20/2018,Florida,Boca Raton,33499,United States
1001,George,Dunn,gdunn0@yellowpages.com,gdunn0,Snaptags,Database Administrator II,Male,Black or African American,$669.00 ,mastercard,2/21/2018,Texas,El Paso,88563,United States
